OBJECTID,Neighbourhood,F2020_Population_Projection,Assault_2020,Assault_Rate2020,AutoTheft_2020,AutoTheft_Rate2020,BreakAndEnter_2020,BreakAndEnter_Rate2020,Robbery_2020,Robbery_Rate2020,Shootings_2020,Shootings_Rate2020,Shape__Area,Shape__Length
16,South Parkdale,24212,237,978.8535,16,66.08293,88,363.4561,16,66.08293,4,1.652073,2286974.107,10802.83207
17,South Riverdale,30225,212,701.4061,38,125.7237,142,469.8098,35,115.7982,3,0.9925559,10964573.74,43080.72479
18,St.Andrew-Windfields,20070,50,249.1281,31,154.4594,50,249.1281,8,39.86049,1,0.4982561,7299579.794,13025.99728
19,Taylor-Massey,16651,114,684.6436,14,84.07903,32,192.1806,26,156.1468,3,1.801694,1062970.055,5940.700144
20,Humber Summit,13458,100,743.0524,110,817.3577,26,193.1936,25,185.7631,5,3.715262,7966905.413,12608.57301
21,Humbermede,16794,83,494.2241,74,440.6335,33,196.4987,14,83.36311,6,3.572705,4421665.037,12445.72194
22,Centennial Scarborough,14672,46,313.5224,10,68.15704,8,54.52563,3,20.44711,1,0.6815704,5468486.344,12038.48121
23,Church-Yonge Corridor,39279,761,1937.422,30,76.37669,241,613.5594,138,351.3328,2,0.5091779,1364546.63,6347.046909
24,Clairlea-Birchmount,29302,184,627.9435,49,167.2241,60,204.7642,30,102.3821,2,0.6825473,7397299.84,16485.39656
25,Cliffcrest,17715,111,626.5876,19,107.2537,36,203.2176,23,129.8335,2,1.128987,7191379.71,19946.02298
26,Flemingdon Park,23505,124,527.5473,15,63.81621,11,46.79855,5,21.27207,13,5.530738,2473306.356,8487.751897
27,Corso Italia-Davenport,15139,89,587.8856,14,92.47639,41,270.8237,12,79.26547,4,2.642182,1884658.155,6077.82489
28,Ionview,14407,86,596.9321,6,41.64642,15,104.1161,2,13.88214,1,0.6941071,1952873.81,6356.149957
29,Junction Area,15623,100,640.0819,36,230.4295,50,320.041,13,83.21065,0,0,2631832.254,7789.281656
30,Broadview North,12372,62,501.1316,7,56.57937,25,202.0692,3,24.2483,0,0,1745969.193,7178.123836
31,Princess-Rosethorn,12291,24,195.2648,20,162.7207,12,97.63242,9,73.22431,1,0.8136035,5171203.281,11051.87776
32,North Riverdale,12585,31,246.325,13,103.2976,34,270.1629,14,111.2435,0,0,1786040.729,5475.635668
33,Etobicoke West Mall,13072,63,481.9461,10,76.49939,13,99.4492,10,76.49939,6,4.589963,1796641.646,6476.058764
34,Forest Hill North,13588,41,301.7368,40,294.3774,45,331.1746,16,117.751,0,0,1569106.006,5693.115905
35,Glenfield-Jane Heights,33031,279,844.6611,124,375.4049,49,148.3455,49,148.3455,34,10.29336,5149746.895,11437.36307
36,Greenwood-Coxwell,15470,114,736.9102,29,187.4596,41,265.0291,21,135.7466,3,1.939237,1675174.696,6843.002278
37,Guildwood,10679,35,327.746,11,103.0059,3,28.09252,3,28.09252,1,0.9364173,3804331.121,9830.064418
38,Trinity-Bellwoods,18270,105,574.7126,13,71.1549,86,470.717,20,109.4691,1,0.5473454,1729723.554,5343.121506
39,Victoria Village,19005,113,594.5804,16,84.18837,34,178.9003,11,57.87951,4,2.104709,4755219.2,11800.34157
40,Waterfront Communities-The Island,87808,757,862.1082,67,76.30284,351,399.7358,83,94.52441,9,1.024963,13416295.06,18366.60809
41,West Hill,29669,336,1132.495,54,182.0082,57,192.1197,36,121.3388,7,2.359365,9625439.614,14976.57178
42,West Humber-Clairville,37133,248,667.8696,396,1066.437,107,288.1534,75,201.9767,7,1.885116,30145323.9,27924.19703
43,Westminster-Branson,28248,91,322.1467,48,169.9235,15,53.1011,17,60.18125,1,0.3540074,3667761.812,11495.36488
44,Kennedy Park,18407,175,950.7253,31,168.4142,32,173.8469,25,135.8179,1,0.5432716,3580725.229,7606.631593
45,Kingsview Village-The Westway,23318,98,420.2762,58,248.7349,13,55.75092,7,30.01973,2,0.8577065,5063371.17,10449.40608
46,Bayview Woods-Steeles,14020,33,235.378,15,106.99,33,235.378,1,7.132668,1,0.7132668,4088934.038,8253.154282
47,Clanton Park,18742,82,437.52,44,234.7668,33,176.0751,16,85.36976,3,1.600683,4142429.392,10147.16198
48,Keelesdale-Eglinton West,12050,80,663.9004,22,182.5726,23,190.8714,11,91.28631,3,2.489627,1750773.86,5670.472099
49,O'Connor-Parkview,20156,118,585.4336,20,99.22604,25,124.0325,19,94.26473,4,1.984521,4876767.018,10927.17794
50,Old East York,9817,29,295.4059,8,81.49129,15,152.7962,5,50.93206,1,1.018641,2349933.438,7485.024652
51,Casa Loma,12334,61,494.5679,18,145.9381,36,291.8761,3,24.32301,0,0,1922539.636,5937.879649
52,Kensington-Chinatown,21196,423,1995.66,56,264.2008,175,825.6275,38,179.2791,6,2.830723,1534712.33,5024.453809
53,Kingsway South,10327,12,116.2002,18,174.3004,21,203.3504,4,38.73342,0,0,2638301.25,8062.512327
54,Runnymede-Bloor West Village,10792,34,315.0482,17,157.5241,30,277.9837,7,64.86286,0,0,1593977.758,6748.112245
55,Forest Hill South,12450,25,200.8032,37,297.1888,33,265.0602,5,40.16064,0,0,2480022.939,7188.574171
56,Henry Farm,22545,84,372.5882,21,93.14704,33,146.3739,6,26.61344,3,1.330672,2593263.593,8150.843903
57,Annex,34680,275,792.9642,37,106.6897,203,585.3518,44,126.8743,0,0,2790356.136,7606.039068
58,Caledonia-Fairbank,10729,50,466.0266,8,74.56426,10,93.20533,8,74.56426,2,1.864107,1544434.551,4951.208322
59,Humber Heights-Westmount,12325,23,186.6126,23,186.6126,9,73.02232,2,16.22718,0,0,2802679.678,9088.071969
60,Roncesvalles,16073,120,746.5937,15,93.32421,68,423.0697,24,149.3187,1,0.6221614,1504527.282,6163.829372
61,University,8433,86,1019.803,7,83.00723,60,711.4906,13,154.1563,0,0,1405236.462,4971.780038
62,Hillcrest Village,18349,47,256.1447,25,136.2472,18,98.09799,14,76.29844,0,0,5395665.601,9570.81385
63,Mount Dennis,14703,71,482.8947,24,163.232,22,149.6293,19,129.2253,1,0.6801333,2129358.665,6852.133877
